tconst,title,year,ordering,Actor,Character Played
,,,,,
tt0315642,Wazir,2016,1,Amitabh Bachchan,"[""Pandit Omkarnath Dhar""]
"
tt0315642,Wazir,2016,2,Farhan Akhtar,"[""Daanish Ali""]
"
tt0315642,Wazir,2016,4,John Abraham,"[""S.P""]
"
tt0315642,Wazir,2016,3,Aditi Rao Hydari,"[""Ruhana Ali""]
"
tt10023024,Love Aaj Kal,2020,3,Randeep Hooda,"[""Raghvendra Raj""]
"
tt10023024,Love Aaj Kal,2020,4,Arushi Sharma,"[""Leena""]
"
tt10023024,Love Aaj Kal,2020,1,Kartik Aaryan,"[""Veer and Raghu""]
"
tt10023024,Love Aaj Kal,2020,2,Sara Ali Khan,"[""Zoe""]
"
tt10309906,Shubh Mangal Zyada Saavdhan,2020,4,Neena Gupta,"[""Sunaina Tripathi""]
"
tt10309906,Shubh Mangal Zyada Saavdhan,2020,3,Gajraj Rao,"[""Shankar Tripathi""]
"
tt10309906,Shubh Mangal Zyada Saavdhan,2020,1,Ayushmann Khurrana,"[""Kartik Singh""]
"
tt10309906,Shubh Mangal Zyada Saavdhan,2020,2,Jitendra Kumar,"[""Aman Tripathi""]
"
tt10324144,Article 15,2019,2,Nassar,"[""CBI Officer Panikar""]
"
tt10324144,Article 15,2019,3,Manoj Pahwa,"[""Bhramadatt Singh""]
"
tt10324144,Article 15,2019,4,Kumud Mishra,"[""Kisan Jatav""]
"
tt10324144,Article 15,2019,1,Ayushmann Khurrana,"[""Ayan Ranjan""]
"
tt10463030,Bhoot: Part One - The Haunted Ship,2020,2,Ashutosh Rana,"[""Professor Raghuveer Joshi""]
"
tt10463030,Bhoot: Part One - The Haunted Ship,2020,3,Meher Vij,"[""Vandana""]
"
tt10463030,Bhoot: Part One - The Haunted Ship,2020,4,Akash Dhar,"[""Riaz""]
"
tt10463030,Bhoot: Part One - The Haunted Ship,2020,1,Vicky Kaushal,"[""Prithvi Prakashan""]
"
tt10875678,Happy Hardy and Heer,2020,1,Ashwin Dhar,"\N
"
tt10875678,Happy Hardy and Heer,2020,2,Trupti Khamkar,"\N
"
tt10875678,Happy Hardy and Heer,2020,4,Deep Mandeep,"\N
"
tt10930586,Shikara,2020,4,Priyanshu Chatterjee,"[""Naveen Zutshi""]
"
tt10930586,Shikara,2020,1,Sadia Khateeb,"[""Shanti Dhar""]
"
tt10930586,Shikara,2020,2,Aadil Khan,"[""Shiv Kumar Dhar""]
"
tt10930586,Shikara,2020,3,Zain Khan Durrani,"[""Lateef Lone""]
"
tt10964430,Thappad,2020,4,Ratna Pathak Shah,"[""Sandhya Sandhu - Amrita's Mother""]
"
tt10964430,Thappad,2020,3,Kumud Mishra,"[""Sachin Sandhu - Amrita's Father""]
"
tt10964430,Thappad,2020,2,Pavail Gulati,"[""Vikram Sabharwal""]
"
tt10964430,Thappad,2020,1,Taapsee Pannu,"[""Amrita Sabharwal""]
"
tt11027850,Hacked,2020,3,Sid Makkar,"[""Om Kapoor""]
"
tt11027850,Hacked,2020,2,Rohan Shah,"[""Vivek""]
"
tt11027850,Hacked,2020,4,Mohit Malhotra,"[""Rohan Mehra""]
"
tt11027850,Hacked,2020,1,Hina Khan,"[""Sameera Khanna""]
"
tt11231440,Doordarshan,2020,3,Dolly Ahluwalia,"[""Darshan Kaur""]
"
tt11231440,Doordarshan,2020,1,Manu Rishi Chadha,"[""Sunil Bhateja 'Cheeku'""]
"
tt11231440,Doordarshan,2020,2,Mahie Gill,"[""Priya 'Billo'""]
"
tt11231440,Doordarshan,2020,4,Shardul Rana,"[""Sunny Bhateja""]
"
tt11509538,Haunted Hills,2020,1,Sharan Anandani,"\N
"
tt11509538,Haunted Hills,2020,4,Nitin Dixit,"\N
"
tt11509538,Haunted Hills,2020,2,Gavie Chahal,"\N
"
tt11509538,Haunted Hills,2020,3,Krishna Chaturvedi,"\N
"
tt11573410,Guns of Banaras,2020,4,Shilpa Shirodkar,"\N
"
tt11573410,Guns of Banaras,2020,1,Karann Nathh,"\N
"
tt11573410,Guns of Banaras,2020,3,Ganesh Venkatraman,"\N
"
tt11573410,Guns of Banaras,2020,2,Nathalia Kaur,"\N
"
tt11743900,Cookie,2020,2,Rajeev Gupta,"\N
"
tt11743900,Cookie,2020,4,Sai Tamhankar,"\N
"
tt11743900,Cookie,2020,3,Vibhoutee Sharma,"[""Cookie""]
"
tt11743900,Cookie,2020,1,Nabeel Ahmed,"[""Agham""]
"
tt1806913,Hotchpotch Again,2017,3,Tabu,"[""Anna Mathew""]
"
tt1806913,Hotchpotch Again,2017,1,Ajay Devgn,"[""Gopal""]
"
tt1806913,Hotchpotch Again,2017,2,Arshad Warsi,"[""Madhav""]
"
tt1806913,Hotchpotch Again,2017,4,Shreyas Talpade,"[""Laxman""]
"
tt2140465,Tanu Weds Manu Returns,2015,2,Madhavan,"[""Manoj 'Manu' Sharma""]
"
tt2140465,Tanu Weds Manu Returns,2015,3,Jimmy Sheirgill,"[""Raja Awasthi""]
"
tt2140465,Tanu Weds Manu Returns,2015,4,Deepak Dobriyal,"[""Pappi""]
"
tt2140465,Tanu Weds Manu Returns,2015,1,Kangana Ranaut,"[""Tanuja 'Tanu' Trivedi"""
tt2395469,Gully Boy,2019,4,Vijay Raaz,"[""Aftab Shakir Ahmed""]
"
tt2395469,Gully Boy,2019,2,Alia Bhatt,"[""Safeena Firdausi""]
"
tt2395469,Gully Boy,2019,1,Ranveer Singh,"[""Murad Ahmed"""
tt2395469,Gully Boy,2019,3,Siddhant Chaturvedi,"[""MC Sher""]
"
tt2424988,Gabbar is Back,2015,2,Kareena Kapoor,"[""Sunaina""]
"
tt2424988,Gabbar is Back,2015,1,Akshay Kumar,"[""Aditya (Gabbar)""]
"
tt2424988,Gabbar is Back,2015,3,Shruti Haasan,"[""Shruti""]
"
tt2424988,Gabbar is Back,2015,4,Shruti Bapna,"[""Lakshmi""]
"
tt2631186,Baahubali: The Beginning,2015,3,Ramya Krishnan,"[""Shivagami""]
"
tt2631186,Baahubali: The Beginning,2015,4,Sathyaraj,"[""Kattappa""]
"
tt2631186,Baahubali: The Beginning,2015,1,Prabhas,"[""Shivudu"""
tt2631186,Baahubali: The Beginning,2015,2,Rana Daggubati,"[""Bhallaladeva""]
"
tt2976182,Roy,2015,4,Barun Chanda,"[""Roy's Boss""]
"
tt2976182,Roy,2015,1,Arjun Rampal,"[""Kabir Grewal""]
"
tt2976182,Roy,2015,3,Ranbir Kapoor,"[""Roy""]
"
tt2976182,Roy,2015,2,Jacqueline Fernandez,"[""Ayesha"""
tt3148502,Spectacle,2015,3,Piyush Mishra,"[""Storyteller""]
"
tt3148502,Spectacle,2015,2,Ranbir Kapoor,"[""Ved Vardhan Sahni""]
"
tt3148502,Spectacle,2015,1,Deepika Padukone,"[""Tara Maheshwari""]
"
tt3148502,Spectacle,2015,4,Naila Grewal,"[""Clown & Fangirl""]
"
tt3159708,Welcome Back,2015,2,Nana Patekar,"[""Uday Shankar Shetty""]
"
tt3159708,Welcome Back,2015,3,Dimple Kapadia,"[""Poonam"""
tt3159708,Welcome Back,2015,1,Anil Kapoor,"[""Sagar 'Majnu' Pandey""]
"
tt3159708,Welcome Back,2015,4,John Abraham,"[""Ajju Bhai"""
tt3398048,Tevar,2015,3,Manoj Bajpayee,"[""Gajendar Singh""]
"
