tconst,title,year,ordering,Actor,Category,Job
tt5286444,Neerja,2016,2,Shabana Azmi,actress,\N
tt0315642,Wazir,2016,1,Amitabh Bachchan,actor,\N
tt3767372,Piku,2015,2,Amitabh Bachchan,actor,\N
tt4744086,Her & Him,2016,1,Amitabh Bachchan,actor,\N
tt5571734,Pink,2016,2,Amitabh Bachchan,actor,\N
tt5970844,Thugs Of Hindostan,2018,3,Amitabh Bachchan,actor,\N
tt6580564,102 Not Out,2018,1,Amitabh Bachchan,actor,\N
tt8130968,Badla,2019,1,Amitabh Bachchan,actor,\N
tt3859980,Mohenjo Daro,2016,3,Kabir Bedi,actor,\N
tt6988116,Kalank,2019,3,Madhuri Dixit,actress,\N
tt7639372,Total Dhamaal,2019,3,Madhuri Dixit,actress,\N
tt3859980,Mohenjo Daro,2016,1,Hrithik Roshan,actor,\N
tt5460276,Kaabil,2017,1,Hrithik Roshan,actor,\N
tt7430722,War,2019,1,Hrithik Roshan,actor,\N
tt7485048,Super 30,2019,1,Hrithik Roshan,actor,\N
tt5460276,Kaabil,2017,9,Rakesh Roshan,producer,producer
tt4535650,Dilwale,2015,2,Kajol,actress,\N
tt8108274,Tanhaji: The Unsung Warrior,2020,4,Kajol,actress,\N
tt5690142,Mom,2017,1,Sridevi,actress,\N
tt6988116,Kalank,2019,4,Sanjay Dutt,actor,\N
tt2424988,Gabbar is Back,2015,2,Kareena Kapoor,actress,\N
tt3863552,Bajrangi Bhaijaan,2015,4,Kareena Kapoor,actress,\N
tt4434004,Udta Punjab,2016,3,Kareena Kapoor,actress,\N
tt4744086,Her & Him,2016,2,Kareena Kapoor,actress,\N
tt5842616,Veere Di Wedding,2018,1,Kareena Kapoor,actress,\N
tt8504014,Good Newwz,2019,2,Kareena Kapoor,actress,\N
tt8907986,Angrezi Medium,2020,3,Kareena Kapoor,actress,\N
tt7147540,Made in India,2018,9,Anu Malik,composer,\N
tt10930586,Shikara,2020,10,A.R. Rahman,composer,\N
tt3148502,Spectacle,2015,7,A.R. Rahman,composer,\N
tt3859980,Mohenjo Daro,2016,9,A.R. Rahman,composer,\N
tt5690142,Mom,2017,9,A.R. Rahman,composer,\N
tt6452574,Sanju,2017,9,A.R. Rahman,composer,guest composer
tt3802576,Brothers,2015,3,Jackie Shroff,actor,\N
tt4559046,Housefull 3,2016,4,Jackie Shroff,actor,\N
tt6836936,Saaho,2019,3,Jackie Shroff,actor,\N
tt0315642,Wazir,2016,6,Vidhu Vinod Chopra,writer,story
tt10930586,Shikara,2020,5,Vidhu Vinod Chopra,director,\N
tt6452574,Sanju,2017,8,Vidhu Vinod Chopra,producer,producer
tt3595298,Found a Treasure Called Love,2015,1,Salman Khan,actor,\N
tt3863552,Bajrangi Bhaijaan,2015,1,Salman Khan,actor,\N
tt4467202,Hero,2015,8,Salman Khan,producer,producer
tt4832640,Sultan,2016,1,Salman Khan,actor,\N
tt5882970,Tubelight,2017,1,Salman Khan,actor,\N
tt5956100,Tiger Zinda Hai,2017,1,Salman Khan,actor,\N
tt7059844,Dabangg 3,2019,1,Salman Khan,actor,\N
tt7431594,Race 3,2018,2,Salman Khan,actor,\N
tt7721800,Bharat,2019,1,Salman Khan,actor,\N
tt7218518,Pad Man,2018,7,Twinkle Khanna,producer,producer
tt1806913,Hotchpotch Again,2017,3,Tabu,actress,\N
tt4430212,Drishyam,2015,3,Tabu,actress,\N
tt7721800,Bharat,2019,4,Tabu,actress,\N
tt8108198,Andhadhun,2018,2,Tabu,actress,\N
tt8647400,De De Pyaar De,2019,2,Tabu,actress,\N
tt9248952,Jawaani Jaaneman,2020,3,Tabu,actress,\N
tt3159708,Welcome Back,2015,2,Nana Patekar,actor,\N
tt4467202,Hero,2015,6,Subhash Ghai,writer,original story
tt4467202,Hero,2015,5,Nikkhil Advani,director,\N
tt8202612,Satyameva Jayate,2018,7,Nikkhil Advani,producer,producer
tt8869978,Batla House,2019,5,Nikkhil Advani,director,\N
tt7721800,Bharat,2019,8,Atul Agnihotri,producer,producer
tt11231440,Doordarshan,2020,3,Dolly Ahluwalia,actress,\N
tt4110568,Dil Dhadakne Do,2015,7,Javed Akhtar,writer,dialogue: Pluto Mehra
tt6173990,GOLD,2018,7,Javed Akhtar,writer,dialogue
tt2395469,Gully Boy,2019,5,Zoya Akhtar,director,\N
tt4110568,Dil Dhadakne Do,2015,5,Zoya Akhtar,director,\N
tt1806913,Hotchpotch Again,2017,10,Amar Mohile,composer,\N
tt5982852,Jolly LLB 2,2017,9,Amar Mohile,composer,score composer
tt3735246,Bajirao Mastani,2015,4,Tanvi Azmi,actress,\N
tt4559046,Housefull 3,2016,2,Abhishek Bachchan,actor,\N
tt3771536,Shivaay,2016,9,Aseem Bajaj,cinematographer,director of photography
tt3398048,Tevar,2015,3,Manoj Bajpayee,actor,\N
tt5165344,Rustom,2016,3,Manoj Bajpayee,actor,\N
tt6170954,Naam Shabana,2017,3,Manoj Bajpayee,actor,\N
tt6843812,Baaghi 2,2018,3,Manoj Bajpayee,actor,\N
tt8202612,Satyameva Jayate,2018,2,Manoj Bajpayee,actor,\N
tt3595298,Found a Treasure Called Love,2015,8,Kamal Kumar Barjatya,producer,producer
tt3595298,Found a Treasure Called Love,2015,5,Sooraj R. Barjatya,director,\N
tt3159708,Welcome Back,2015,5,Anees Bazmee,director,\N
tt6272828,Mubarakan,2017,5,Anees Bazmee,director,\N
tt4744086,Her & Him,2016,3,Jaya Bachchan,actress,\N
tt10875678,Happy Hardy and Heer,2020,8,Vashu Bhagnani,producer,producer
tt9248952,Jawaani Jaaneman,2020,10,Vashu Bhagnani,producer,producer
tt2424988,Gabbar is Back,2015,9,Sanjay Leela Bhansali,producer,producer
tt3735246,Bajirao Mastani,2015,5,Sanjay Leela Bhansali,director,\N
tt5935704,Padmaavat,2017,5,Sanjay Leela Bhansali,director,\N
tt7027278,Kedarnath,2018,3,Nitish Bharadwaj,actor,\N
tt11027850,Hacked,2020,5,Vikram Bhatt,director,\N
tt4865436,Hate Story 3,2015,6,Vikram Bhatt,writer,story and screenplay
tt4302956,Kis Kisko Pyaar Karoon,2015,5,Abbas Alibhai Burmawalla,director,\N
tt4302956,Kis Kisko Pyaar Karoon,2015,6,Mastan Alibhai Burmawalla,director,\N
tt3469244,Phantom,2015,3,Sabyasachi Chakrabarty,actor,\N
tt2976182,Roy,2015,4,Barun Chanda,actor,\N
tt3767372,Piku,2015,4,Moushumi Chatterjee,actress,\N
tt4110568,Dil Dhadakne Do,2015,2,Shefali Shah,actress,\N
tt3495026,Fan,2016,8,Aditya Chopra,producer,producer
tt4832640,Sultan,2016,6,Aditya Chopra,producer,producer
tt5108476,Befikre,2016,5,Aditya Chopra,director,\N
tt5956100,Tiger Zinda Hai,2017,7,Aditya Chopra,writer,original characters
tt5970844,Thugs Of Hindostan,2018,6,Aditya Chopra,producer,producer
tt7147540,Made in India,2018,6,Aditya Chopra,producer,producer
tt7430722,War,2019,6,Aditya Chopra,writer,story
tt9680136,Pati Patni Aur Woh,2019,6,B.R. Chopra,writer,Original Story
tt6826438,Parmanu: The Story of Pokhran,2018,9,Sandeep Chowta,composer,\N
tt3848892,Baby,2015,2,Danny Denzongpa,actor,\N
tt7431594,Race 3,2018,3,Bobby Deol,actor,\N
tt7721946,Housefull 4,2019,3,Bobby Deol,actor,\N
tt3679000,Any Body Can Dance 2,2015,1,Prabhu Deva,actor,\N
tt3696192,Singh Is Bliing,2015,5,Prabhu Deva,director,\N
tt7059844,Dabangg 3,2019,5,Prabhu Deva,director,\N
tt9648672,Street Dancer 3D,2020,3,Prabhu Deva,actor,\N
tt1806913,Hotchpotch Again,2017,1,Ajay Devgn,actor,\N
tt3771536,Shivaay,2016,1,Ajay Devgn,actor,\N
tt4430212,Drishyam,2015,1,Ajay Devgn,actor,\N
tt4906960,Baadshaho,2017,1,Ajay Devgn,actor,\N
tt7363076,Raid,2018,1,Ajay Devgn,actor,\N
tt7639372,Total Dhamaal,2019,1,Ajay Devgn,actor,\N
tt8108274,Tanhaji: The Unsung Warrior,2020,1,Ajay Devgn,actor,\N
tt8647400,De De Pyaar De,2019,1,Ajay Devgn,actor,\N
tt8108198,Andhadhun,2018,4,Anil Dhawan,actor,\N
tt8562960,Shaheed Chandrashekhar Azaad,2020,1,Anil Dhawan,actor,\N
tt5456546,Twins 2,2017,5,David Dhawan,director,\N
tt9817760,Jai Mummy Di,2020,1,Poonam Dhillon,actress,\N
tt4467202,Hero,2015,3,Tigmanshu Dhulia,actor,\N
tt3802576,Brothers,2015,7,Cliff Dorfman,writer,original story
tt8176312,Gul Makai,2020,2,Divya Dutta,actress,\N
tt4640206,Sachin - A Billion Dreams,2017,5,James Erskine,director,\N
tt6588966,Hichki,2018,4,Vikram Gokhale,actor,\N
tt3859980,Mohenjo Daro,2016,5,Ashutosh Gowariker,director,\N
tt3495026,Fan,2016,10,Andrea Guerra,composer,\N
tt7147540,Made in India,2018,8,Andrea Guerra,composer,\N
tt3398048,Tevar,2015,6,Gunasekhar,writer,\N
tt10309906,Shubh Mangal Zyada Saavdhan,2020,4,Neena Gupta,actress,\N
tt7725596,Badhaai Ho,2018,2,Neena Gupta,actress,\N
tt8983166,Panga,2020,4,Neena Gupta,actress,\N
tt5460276,Kaabil,2017,5,Sanjay Gupta,director,\N
tt5477608,Kahaani 2,2016,3,Jugal Hansraj,actor,\N
tt6452574,Sanju,2017,5,Rajkumar Hirani,director,\N
tt10023024,Love Aaj Kal,2020,3,Randeep Hooda,actor,\N
tt4832640,Sultan,2016,3,Randeep Hooda,actor,\N
tt6843812,Baaghi 2,2018,4,Randeep Hooda,actor,\N
tt7639372,Total Dhamaal,2019,5,Indra Kumar,director,\N
tt4979082,Jai Gangaajal,2016,2,Prakash Jha,actor,\N
tt10463030,Bhoot: Part One - The Haunted Ship,2020,6,Hiroo Johar,producer,producer
tt4559006,Ae Dil Hai Mushkil,2016,7,Hiroo Johar,producer,producer
tt4900716,Kapoor & Sons,2016,8,Hiroo Johar,producer,producer
tt6277440,Badrinath Ki Dulhania,2017,6,Hiroo Johar,producer,producer
tt6988116,Kalank,2019,8,Hiroo Johar,producer,producer
tt7098658,Raazi,2018,9,Hiroo Johar,producer,producer
tt7255568,Student of the Year 2,2019,9,Hiroo Johar,producer,producer
tt7638344,Dhadak,2018,7,Hiroo Johar,producer,producer
tt8504014,Good Newwz,2019,9,Hiroo Johar,producer,producer
tt10463030,Bhoot: Part One - The Haunted Ship,2020,7,Karan Johar,producer,producer
tt4007558,Shaandaar,2015,8,Karan Johar,producer,producer
tt4559006,Ae Dil Hai Mushkil,2016,5,Karan Johar,director,\N
tt4900716,Kapoor & Sons,2016,9,Karan Johar,producer,producer
tt5946128,Dear Zindagi,2016,7,Karan Johar,producer,producer
tt6264938,Kesari,2019,7,Karan Johar,producer,producer
tt6277440,Badrinath Ki Dulhania,2017,7,Karan Johar,producer,producer
tt6988116,Kalank,2019,9,Karan Johar,producer,producer
tt7098658,Raazi,2018,10,Karan Johar,producer,producer
tt7255568,Student of the Year 2,2019,7,Karan Johar,writer,characters
tt7638344,Dhadak,2018,8,Karan Johar,producer,producer
tt8504014,Good Newwz,2019,10,Karan Johar,producer,producer
tt5235880,A Flying Jatt,2016,3,Nathan Jones,actor,\N
