tconst,title,year,director(s),writer(s)
tt0315642,Wazir,2016,Bejoy Nambiar,Vidhu Vinod Chopra
tt10023024,Love Aaj Kal,2020,Imtiaz Ali,Imtiaz Ali
tt10309906,Shubh Mangal Zyada Saavdhan,2020,Hitesh Kewalya,Hitesh Kewalya
tt10324144,Article 15,2019,Anubhav Sinha,Anubhav Sinha
tt10463030,Bhoot: Part One - The Haunted Ship,2020,Bhanu Pratap Singh,Bhanu Pratap Singh
tt10875678,Happy Hardy and Heer,2020,Raka,Sonia Kapoor
tt10930586,Shikara,2020,Vidhu Vinod Chopra,Vidhu Vinod Chopra
tt10964430,Thappad,2020,Anubhav Sinha,Mrunmayee Lagoo
tt11027850,Hacked,2020,Vikram Bhatt,Rhea Anand
tt11231440,Doordarshan,2020,Gagan Puri,Gagan Puri
tt11509538,Haunted Hills,2020,Sanjeev Kumar Rajput,Sanjeev Kumar Rajput
tt11573410,Guns of Banaras,2020,Shekkhar Suri,
tt11743900,Cookie,2020,Lalit Marathe,Lalit Marathe
tt1806913,Hotchpotch Again,2017,Rohit Shetty,Rohit Shetty
tt2140465,Tanu Weds Manu Returns,2015,Aanand L. Rai,Himanshu Sharma
tt2395469,Gully Boy,2019,Zoya Akhtar,Zoya Akhtar
tt2424988,Gabbar is Back,2015,Radha Krishna Jagarlamudi,A.R. Murugadoss
tt2631186,Baahubali: The Beginning,2015,S.S. Rajamouli,Vijayendra Prasad
tt2976182,Roy,2015,Vikramjit Singh,Vikramjit Singh
tt3148502,Spectacle,2015,Imtiaz Ali,Imtiaz Ali
tt3159708,Welcome Back,2015,Anees Bazmee,Anees Bazmee
tt3398048,Tevar,2015,Amit Ravindernath Sharma,Gunasekhar
tt3405236,Raees,2017,Rahul Dholakia,Rahul Dholakia
tt3469244,Phantom,2015,Kabir Khan,Hussain Zaidi
tt3495026,Fan,2016,Maneesh Sharma,Maneesh Sharma
tt3595298,Found a Treasure Called Love,2015,Sooraj R. Barjatya,Sooraj R. Barjatya
tt3678782,City of Revenge,2015,Sriram Raghavan,Massimo Carlotto
tt3679000,Any Body Can Dance 2,2015,Remo D'Souza,Remo D'Souza
tt3679060,Kapow,2016,Rohit Dhawan,Rohit Dhawan
tt3696192,Singh Is Bliing,2015,Prabhu Deva,Chintan Gandhi
tt3735246,Bajirao Mastani,2015,Sanjay Leela Bhansali,Nagnath S. Inamdar
tt3767372,Piku,2015,Shoojit Sircar,Juhi Chaturvedi
tt3771536,Shivaay,2016,Ajay Devgn,Sandeep Shrivastava
tt3802576,Brothers,2015,Karan Malhotra,Gavin O'Connor
tt3848892,Baby,2015,Neeraj Pandey,Neeraj Pandey
tt3859980,Mohenjo Daro,2016,Ashutosh Gowariker,Ashutosh Gowariker
tt3863552,Bajrangi Bhaijaan,2015,Kabir Khan,Vijayendra Prasad
tt4007558,Shaandaar,2015,Vikas Bahl,Vikas Bahl
tt4110568,Dil Dhadakne Do,2015,Zoya Akhtar,Zoya Akhtar
tt4129428,Detective Jagga,2017,Anurag Basu,Anurag Basu
tt4169250,M.S. Dhoni: The Untold Story,2016,Neeraj Pandey,Neeraj Pandey
tt4302956,Kis Kisko Pyaar Karoon,2015,Mastan Alibhai Burmawalla,Abbas Alibhai Burmawalla
tt4387040,Airlift,2016,Raja Menon,Raja Menon
tt4430136,Pyaar Ka Punchnama 2,2015,Luv Ranjan,Luv Ranjan
tt4430212,Drishyam,2015,Nishikant Kamat,Jeethu Joseph
tt4434004,Udta Punjab,2016,Abhishek Chaubey,Sudip Sharma
tt4467202,Hero,2015,Nikkhil Advani,Subhash Ghai
tt4535650,Dilwale,2015,Rohit Shetty,Yunus Sajawal
tt4559006,Ae Dil Hai Mushkil,2016,Karan Johar,Karan Johar
tt4559046,Housefull 3,2016,Sajid,Farhad Samji
tt4640206,Sachin - A Billion Dreams,2017,James Erskine,Siva Ananth
tt4744086,Her & Him,2016,R. Balki,R. Balki
tt4832640,Sultan,2016,Ali Abbas Zafar,Ali Abbas Zafar
tt4849438,Baahubali 2: The Conclusion,2017,S.S. Rajamouli,Vijayendra Prasad
tt4864932,Baaghi,2016,Sabir Khan,Shifuji Shaurya Bharadwaj
tt4865436,Hate Story 3,2015,Vishal Pandya,Vikram Bhatt
tt4900716,Kapoor & Sons,2016,Shakun Batra,Shakun Batra
tt4906960,Baadshaho,2017,Milan Luthria,Rajat Arora
tt4906984,Azhar,2016,Anthony D'Souza,Rajat Arora
tt4979082,Jai Gangaajal,2016,Prakash Jha,Prakash Jha
tt5074352,Dangal,2016,Nitesh Tiwari,Piyush Gupta
tt5080556,2,2018,S. Shankar,Jayamohan
tt5108476,Befikre,2016,Aditya Chopra,Aditya Chopra
tt5156746,Force 2,2016,Abhinay Deo,Jasmeet K. Reen
tt5165344,Rustom,2016,Dharmendra Suresh Desai,Vipul K. Rawal
tt5235880,A Flying Jatt,2016,Remo D'Souza,Remo D'Souza
tt5286444,Neerja,2016,Ram Madhvani,Saiwyn Quadras
tt5456546,Twins 2,2017,David Dhawan,Yunus Sajawal
tt5460276,Kaabil,2017,Sanjay Gupta,Sanjay Masoomm
tt5474042,Half Girlfriend,2017,Mohit Suri,Chetan Bhagat
tt5477608,Kahaani 2,2016,Sujoy Ghosh,Sujoy Ghosh
tt5571734,Pink,2016,Aniruddha Roy Chowdhury,Shoojit Sircar
tt5690142,Mom,2017,Ravi Udyawar,Girish Kohli
tt5764096,Hindi Medium,2017,Saket Chaudhary,Sonu Sinha
tt5785170,Toilet: A Love Story,2017,Shree Narayan Singh,Siddharth-Garima
tt5842616,Veere Di Wedding,2018,Shashanka Ghosh,Nidhi Mehra
tt5882970,Tubelight,2017,Kabir Khan,Kabir Khan
tt5935704,Padmaavat,2017,Sanjay Leela Bhansali,Prakash Kapadia
tt5946128,Dear Zindagi,2016,Gauri Shinde,Gauri Shinde
tt5956100,Tiger Zinda Hai,2017,Ali Abbas Zafar,Neelesh Misra
tt5970844,Thugs Of Hindostan,2018,Vijay Krishna Acharya,Vijay Krishna Acharya
tt5982852,Jolly LLB 2,2017,Subhash Kapoor,Subhash Kapoor
tt5997666,When Harry Met Sejal,2017,Imtiaz Ali,Imtiaz Ali
tt6108090,Secret Superstar,2017,Advait Chandan,Advait Chandan
tt6117702,Munna Michael,2017,Sabir Khan,Vimi Datta
tt6170954,Naam Shabana,2017,Shivam Nair,Neeraj Pandey
tt6173990,GOLD,2018,Reema Kagti,Rajesh Devraj
tt6264938,Kesari,2019,Anurag Singh,Girish Kohli
tt6272828,Mubarakan,2017,Anees Bazmee,Rupinder Chahal
tt6277440,Badrinath Ki Dulhania,2017,Shashank Khaitan,Shashank Khaitan
tt6452574,Sanju,2017,Rajkumar Hirani,Abhiruchi Chand
tt6527426,Zero,2018,Aanand L. Rai,Himanshu Sharma
tt6580564,102 Not Out,2018,Umesh Shukla,Saumya Joshi
tt6588966,Hichki,2018,Siddharth Malhotra,Anckur Chaudhry
tt6712014,Fukrey Returns,2017,Mrighdeep Lamba,Vipul Vig
tt6791730,Tumhari Sulu,2017,Suresh Triveni,Suresh Triveni
tt6826438,Parmanu: The Story of Pokhran,2018,Abhishek Sharma,Saiwyn Quadras
tt6836936,Saaho,2019,Sujeeth,Sujeeth
tt6843812,Baaghi 2,2018,Ahmed Khan,Abbas Dalal
tt6903440,Manikarnika: The Queen of Jhansi,2019,Kangana Ranaut,Radha Krishna Jagarlamudi
tt6967980,Bareilly Ki Barfi,2017,Ashwiny Iyer Tiwari,Bareilly Ki Barfi
tt6971752,Shubh Mangal Savdhan,2017,R.S. Prasanna,R.S. Prasanna
tt6988116,Kalank,2019,Abhishek Varman,Shibani Bathija
tt7027278,Kedarnath,2018,Abhishek Kapoor,Abhishek Kapoor
tt7059844,Dabangg 3,2019,Prabhu Deva,Salman Khan
tt7098658,Raazi,2018,Meghna Gulzar,Harinder S. Sikka
tt7147540,Made in India,2018,Sharat Katariya,Sharat Katariya
tt7212726,Simmba,2017,Rohit Shetty,Puri Jagannadh
tt7218518,Pad Man,2018,R. Balki,R. Balki
tt7255568,Student of the Year 2,2019,Punit Malhotra,Paulomi Dutta
tt7363076,Raid,2018,Raj Kumar Gupta,Ritesh Shah
tt7430722,War,2019,Siddharth Anand,Siddharth Anand
tt7431594,Race 3,2018,Remo D'Souza,Shiraz Ahmed
tt7485048,Super 30,2019,Vikas Bahl,Sanjeev Dutta
tt7581902,Sonu Ke Titu Ki Sweety,2018,Luv Ranjan,Rahul Mody
tt7638344,Dhadak,2018,Shashank Khaitan,Shashank Khaitan
tt7639372,Total Dhamaal,2019,Indra Kumar,Paritosh Painter
tt7700730,October,2018,Shoojit Sircar,Juhi Chaturvedi
tt7721800,Bharat,2019,Ali Abbas Zafar,Su-jin Park
tt7721946,Housefull 4,2019,Farhad Samji,Tasha Bhambra
tt7725596,Badhaai Ho,2018,Amit Ravindernath Sharma,Akshat Ghildial
tt7881550,Har Kisse Ke Hisse: Kaamyaab,2020,Hardik Mehta,Radhika Anand
tt8108198,Andhadhun,2018,Sriram Raghavan,Arijit Biswas
tt8108202,Stree,2018,Amar Kaushik,Raj Nidimoru
tt8108274,Tanhaji: The Unsung Warrior,2020,Om Raut,Prakash Kapadia
tt8130968,Badla,2019,Sujoy Ghosh,Oriol Paulo
tt8176312,Gul Makai,2020,Amjad Khan,Bhaswati Chakrabarty
tt8202612,Satyameva Jayate,2018,Milap Zaveri,Milap Zaveri
tt8291224,Uri: The Surgical Strike,2019,Aditya Dhar,Aditya Dhar
tt8366590,Baaghi 3,2020,Ahmed Khan,Tasha Bhambra
tt8504014,Good Newwz,2019,Raj Mehta,Jyoti Kapoor
tt8562960,Shaheed Chandrashekhar Azaad,2020,Rajesh Mittal,Rajesh Mittal
